Chromosome	Position	Recombination_rate
1	29500	4E-9
1	30500	5E-7
1	129500	4E-9
1	130500	5E-7
1	229500	4E-9
1	230500	5E-7
1	329500	4E-9
1	330500	5E-7
1	429500	4E-9
1	430500	5E-7
1	529500	4E-9
1	530500	5E-7
1	629500	4E-9
1	630500	5E-7
1	729500	4E-9
1	730500	5E-7
1	829500	4E-9
1	830500	5E-7
1	929500	4E-9
1	930500	5E-7
1	1000000	4E-9
2	29500	4E-9
2	30500	5E-7
2	129500	4E-9
2	130500	5E-7
2	229500	4E-9
2	230500	5E-7
2	329500	4E-9
2	330500	5E-7
2	429500	4E-9
2	430500	5E-7
2	529500	4E-9
2	530500	5E-7
2	629500	4E-9
2	630500	5E-7
2	729500	4E-9
2	730500	5E-7
2	829500	4E-9
2	830500	5E-7
2	929500	4E-9
2	930500	5E-7
2	1000000	4E-9

