Chromosome	Position	Recombination_rate
1	9000	4E-9
1	10000	5E-7
1	109000	4E-9
1	110000	5E-7
1	209000	4E-9
1	210000	5E-7
1	309000	4E-9
1	310000	5E-7
1	409000	4E-9
1	410000	5E-7
1	509000	4E-9
1	510000	5E-7
1	609000	4E-9
1	610000	5E-7
1	709000	4E-9
1	710000	5E-7
1	809000	4E-9
1	810000	5E-7
1	909000	4E-9
1	910000	5E-7
1	1000000	4E-9
2	9000	4E-9
2	10000	5E-7
2	109000	4E-9
2	110000	5E-7
2	209000	4E-9
2	210000	5E-7
2	309000	4E-9
2	310000	5E-7
2	409000	4E-9
2	410000	5E-7
2	509000	4E-9
2	510000	5E-7
2	609000	4E-9
2	610000	5E-7
2	709000	4E-9
2	710000	5E-7
2	809000	4E-9
2	810000	5E-7
2	909000	4E-9
2	910000	5E-7
2	1000000	4E-9

